gene_id	gene_name	class	Huisinga_class
YLR413W	INA1	CR	SAGA/TFIID
YBL072C	RPS8A	TFIID	TFIID-dominated
YEL065W	SIT1	CR	TFIID-dominated
YBR154C	RPB5	TFIID	TFIID-dominated
YGR116W	SPT6	TFIID	TFIID-dominated
YOL136C	PFK27	CR	SAGA-dominated
YPL078C	ATP4	TFIID	TFIID-dominated
YJL109C	UTP10	TFIID	TFIID-dominated
YMR235C	RNA1	TFIID	TFIID-dominated
YDR091C	RLI1	TFIID	no call
YBL099W	ATP1	TFIID	TFIID-dominated
YPR036W	VMA13	TFIID	TFIID-dominated
YOL154W	ZPS1	CR	SAGA/TFIID
YLR051C	FCF2	TFIID	TFIID-dominated
YNL002C	RLP7	TFIID	TFIID-dominated
YKR095W	MLP1	TFIID	TFIID-dominated
YBR034C	HMT1	TFIID	TFIID-dominated
YDL140C	RPO21	TFIID	TFIID-dominated
YDR394W	RPT3	TFIID	TFIID-dominated
YPL117C	IDI1	TFIID	TFIID-dominated
YGR135W	PRE9	TFIID	TFIID-dominated
YNL085W	MKT1	TFIID	TFIID-dominated
YLR064W	PER33	CR	TFIID-dominated
YML012W	ERV25	TFIID	TFIID-dominated
YBL041W	PRE7	TFIID	TFIID-dominated
YKL210W	UBA1	TFIID	TFIID-dominated
YGL011C	SCL1	TFIID	TFIID-dominated
YDR471W	RPL27B	TFIID	TFIID-dominated
YGR124W	ASN2	TFIID	TFIID-dominated
YOR332W	VMA4	TFIID	TFIID-dominated
YER002W	NOP16	TFIID	TFIID-dominated
YJL189W	RPL39	TFIID	TFIID-dominated
YKL178C	STE3	CR	TFIID-dominated
YFL004W	VTC2	CR	TFIID-dominated
YDL145C	COP1	TFIID	TFIID-dominated
YGL195W	GCN1	TFIID	TFIID-dominated
YJL052W	TDH1	CR	SAGA-dominated
YMR143W	RPS16A	TFIID	TFIID-dominated
YML007W	YAP1	CR	TFIID-dominated
YDR077W	SED1	CR	TFIID-dominated
YMR079W	SEC14	TFIID	TFIID-dominated
YDR270W	CCC2	CR	TFIID-dominated
YJR063W	RPA12	TFIID	TFIID-dominated
YDR214W	AHA1	CR	TFIID-dominated
YPR103W	PRE2	TFIID	TFIID-dominated
YDR365C	ESF1	TFIID	TFIID-dominated
YCL043C	PDI1	CR	TFIID-dominated
YOL120C	RPL18A	TFIID	TFIID-dominated
YGL173C	XRN1	TFIID	TFIID-dominated
YGL122C	NAB2	TFIID	TFIID-dominated
YDL235C	YPD1	TFIID	TFIID-dominated
YDL075W	RPL31A	TFIID	TFIID-dominated
